id,u,v,key,osmid,length,name
1939,2546200726,3352893345,0,110843379,57.714,
1940,2546200726,5633802133,0,247757245,17.264,
1941,2546200728,5393843670,0,109454288,134.741,
1942,2546200728,5633802136,0,247757245,15.873,
1943,2905764708,10885762587,0,1171478793,60.453,Calle Palacio Viejo
1944,2905764708,2905764712,0,286899469,125.677,
1945,2905764712,10885702041,0,1171478797,68.154,General Morán
1946,2906500704,4075477895,0,286983528,4.967,
1947,2906500704,2906500742,0,"[1175531333, 286983528, 286983514, 286983516, 286983517]",249.22800000000007,
1948,2906500704,5424532738,0,557383917,106.78800000000001,Calle Palacio Viejo
